arch,cpu-clock,isa,l1d_assoc,l1d_cache_lines,l1d_shared_by_threads,l1d_size,l2_assoc,l2_cache_lines,l2_shared_by_threads,l2_size,l3_assoc,l3_cache_lines,l3_shared_by_threads,l3_size,mem-size,mem-type,mem_clock,num-cpus,arch1,PS,runtime
IntelCorei56360U_LPDDR32133_4GB,2,X86_64,8,64,1,32,4,64,1,256,16,64,2,4,4,LPDDR3,2133,2,IntelCorei56360U_LPDDR32133_4GB_sqcif,sqcif,74689
IntelCorei56360U_LPDDR32133_6GB,2,X86_64,8,64,1,32,4,64,1,256,16,64,2,4,6,LPDDR3,2133,2,IntelCorei56360U_LPDDR32133_6GB_sqcif,sqcif,74689
IntelCorei56360U_LPDDR32133_7GB,2,X86_64,8,64,1,32,4,64,1,256,16,64,2,4,7,LPDDR3,2133,2,IntelCorei56360U_LPDDR32133_7GB_sqcif,sqcif,74689
IntelCorei56360U_DDR42133_2GB,2,X86_64,8,64,1,32,4,64,1,256,16,64,2,4,2,DDR4,2133,2,IntelCorei56360U_DDR42133_2GB_sqcif,sqcif,74729
IntelCorei56360U_DDR42133_3GB,2,X86_64,8,64,1,32,4,64,1,256,16,64,2,4,3,DDR4,2133,2,IntelCorei56360U_DDR42133_3GB_sqcif,sqcif,74729
IntelCorei56360U_DDR42133_4GB,2,X86_64,8,64,1,32,4,64,1,256,16,64,2,4,4,DDR4,2133,2,IntelCorei56360U_DDR42133_4GB_sqcif,sqcif,74729
IntelCorei56360U_DDR42133_6GB,2,X86_64,8,64,1,32,4,64,1,256,16,64,2,4,6,DDR4,2133,2,IntelCorei56360U_DDR42133_6GB_sqcif,sqcif,74729
IntelCorei56360U_DDR42133_7GB,2,X86_64,8,64,1,32,4,64,1,256,16,64,2,4,7,DDR4,2133,2,IntelCorei56360U_DDR42133_7GB_sqcif,sqcif,74729
IntelCorei56300U_LPDDR32133_2GB,2.4,X86_64,8,64,1,32,4,64,1,256,12,64,2,3,2,LPDDR3,2133,2,IntelCorei56300U_LPDDR32133_2GB_sqcif,sqcif,61956
IntelCorei56300U_LPDDR32133_3GB,2.4,X86_64,8,64,1,32,4,64,1,256,12,64,2,3,3,LPDDR3,2133,2,IntelCorei56300U_LPDDR32133_3GB_sqcif,sqcif,61956
