arch,cpu-clock,isa,l1d_assoc,l1d_cache_lines,l1d_shared_by_threads,l1d_size,l2_assoc,l2_cache_lines,l2_shared_by_threads,l2_size,l3_assoc,l3_cache_lines,l3_shared_by_threads,l3_size,mem-size,mem-type,mem_clock,num-cpus,arch1,PS,runtime
AdvMicDevEpyc7251_DDR42400_7GB,2.1,X86_64,8,64,1,32,8,64,1,512,16,64,8,32,7,DDR4,2400,8,AdvMicDevEpyc7251_DDR42400_7GB_qcif,qcif,46975
AdvMicDevEpyc7601_DDR42666_2GB,2,X86_64,8,64,1,32,8,64,1,512,8,64,32,64,2,DDR4,2666,32,AdvMicDevEpyc7601_DDR42666_2GB_qcif,qcif,48521
AdvMicDevEpyc7601_DDR42666_3GB,2,X86_64,8,64,1,32,8,64,1,512,8,64,32,64,3,DDR4,2666,32,AdvMicDevEpyc7601_DDR42666_3GB_qcif,qcif,48521
AdvMicDevEpyc7601_DDR42666_4GB,2,X86_64,8,64,1,32,8,64,1,512,8,64,32,64,4,DDR4,2666,32,AdvMicDevEpyc7601_DDR42666_4GB_qcif,qcif,48521
AdvMicDevEpyc7601_DDR42666_6GB,2,X86_64,8,64,1,32,8,64,1,512,8,64,32,64,6,DDR4,2666,32,AdvMicDevEpyc7601_DDR42666_6GB_qcif,qcif,48521
AdvMicDevEpyc7601_DDR42666_7GB,2,X86_64,8,64,1,32,8,64,1,512,8,64,32,64,7,DDR4,2666,32,AdvMicDevEpyc7601_DDR42666_7GB_qcif,qcif,48521
AdvMicDevBuldzrFX8100_DDR31866_2GB,2.8,X86_64,4,64,1,16,16,64,1,1024,64,64,8,8,2,DDR3,1866,8,AdvMicDevBuldzrFX8100_DDR31866_2GB_qcif,qcif,37387
AdvMicDevBuldzrFX8100_DDR31866_3GB,2.8,X86_64,4,64,1,16,16,64,1,1024,64,64,8,8,3,DDR3,1866,8,AdvMicDevBuldzrFX8100_DDR31866_3GB_qcif,qcif,37387
AdvMicDevBuldzrFX8100_DDR31866_4GB,2.8,X86_64,4,64,1,16,16,64,1,1024,64,64,8,8,4,DDR3,1866,8,AdvMicDevBuldzrFX8100_DDR31866_4GB_qcif,qcif,37387
AdvMicDevBuldzrFX8100_DDR31866_6GB,2.8,X86_64,4,64,1,16,16,64,1,1024,64,64,8,8,6,DDR3,1866,8,AdvMicDevBuldzrFX8100_DDR31866_6GB_qcif,qcif,37387
AdvMicDevBuldzrFX8100_DDR31866_7GB,2.8,X86_64,4,64,1,16,16,64,1,1024,64,64,8,8,7,DDR3,1866,8,AdvMicDevBuldzrFX8100_DDR31866_7GB_qcif,qcif,37387
AdvMicDevBuldzrFX8170_DDR31866_2GB,3.9,X86_64,4,64,1,16,16,64,1,1024,64,64,8,8,2,DDR3,1866,8,AdvMicDevBuldzrFX8170_DDR31866_2GB_qcif,qcif,27156
AdvMicDevBuldzrFX8170_DDR31866_3GB,3.9,X86_64,4,64,1,16,16,64,1,1024,64,64,8,8,3,DDR3,1866,8,AdvMicDevBuldzrFX8170_DDR31866_3GB_qcif,qcif,27156
AdvMicDevBuldzrFX8170_DDR31866_4GB,3.9,X86_64,4,64,1,16,16,64,1,1024,64,64,8,8,4,DDR3,1866,8,AdvMicDevBuldzrFX8170_DDR31866_4GB_qcif,qcif,27156
AdvMicDevBuldzrFX8170_DDR31866_6GB,3.9,X86_64,4,64,1,16,16,64,1,1024,64,64,8,8,6,DDR3,1866,8,AdvMicDevBuldzrFX8170_DDR31866_6GB_qcif,qcif,27156
AdvMicDevBuldzrFX8170_DDR31866_7GB,3.9,X86_64,4,64,1,16,16,64,1,1024,64,64,8,8,7,DDR3,1866,8,AdvMicDevBuldzrFX8170_DDR31866_7GB_qcif,qcif,27156
AdvMicDevBuldzrFX6100_DDR31866_2GB,3.3,X86_64,4,64,1,16,16,64,1,1024,64,64,6,8,2,DDR3,1866,6,AdvMicDevBuldzrFX6100_DDR31866_2GB_qcif,qcif,31913
AdvMicDevBuldzrFX6100_DDR31866_3GB,3.3,X86_64,4,64,1,16,16,64,1,1024,64,64,6,8,3,DDR3,1866,6,AdvMicDevBuldzrFX6100_DDR31866_3GB_qcif,qcif,31913
AdvMicDevBuldzrFX6100_DDR31866_4GB,3.3,X86_64,4,64,1,16,16,64,1,1024,64,64,6,8,4,DDR3,1866,6,AdvMicDevBuldzrFX6100_DDR31866_4GB_qcif,qcif,31913
AdvMicDevBuldzrFX6100_DDR31866_6GB,3.3,X86_64,4,64,1,16,16,64,1,1024,64,64,6,8,6,DDR3,1866,6,AdvMicDevBuldzrFX6100_DDR31866_6GB_qcif,qcif,31913
AdvMicDevBuldzrFX6100_DDR31866_7GB,3.3,X86_64,4,64,1,16,16,64,1,1024,64,64,6,8,7,DDR3,1866,6,AdvMicDevBuldzrFX6100_DDR31866_7GB_qcif,qcif,31913
AdvMicDevBuldzrFX6130_DDR31866_2GB,3.6,X86_64,4,64,1,16,16,64,1,1024,64,64,6,8,2,DDR3,1866,6,AdvMicDevBuldzrFX6130_DDR31866_2GB_qcif,qcif,29262
AdvMicDevBuldzrFX6130_DDR31866_3GB,3.6,X86_64,4,64,1,16,16,64,1,1024,64,64,6,8,3,DDR3,1866,6,AdvMicDevBuldzrFX6130_DDR31866_3GB_qcif,qcif,29262
AdvMicDevBuldzrFX6130_DDR31866_4GB,3.6,X86_64,4,64,1,16,16,64,1,1024,64,64,6,8,4,DDR3,1866,6,AdvMicDevBuldzrFX6130_DDR31866_4GB_qcif,qcif,29262
